ID_CAMPANHA,LIBERAR_GRADE_WEB,PRODUTO,COR_PRODUTO,ESTOQUE,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,R_ESTOQUE,R_ES1,R_ES2,R_ES3,R_ES4,R_ES5,R_ES6,R_ES7,R_ES8,R_ES9,R_ES10,R_ES11,R_ES12,R_ES13,R_ES14,R_ES15,R_ES16,status
54,0,372714      ,59612       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,11,8,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372715      ,59612       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,11,8,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372716      ,59612       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372717      ,59612       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372718      ,59612       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372719      ,59612       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372752      ,55453       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372754      ,55454       ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6,10,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372755      ,55453       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372756      ,55453       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,8,13,10,6,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372831      ,59481       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372920      ,07448       ,15,7,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,31,7,12,6,4,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372922      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,16,9,6,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372923      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372927      ,07742       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,15,8,5,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372928      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372931      ,07742       ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,6,10,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372932      ,05052       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372936      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,12,6,4,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372938      ,07448       ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,7,12,6,4,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372981      ,59498       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372988      ,59534       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
